Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
1/12/2026,223,404,83,77,129,9,60,83,52,28,3,9,6,2,5754
1/13/2026,333,398,88,114,139,36,150,68,51,64,5,6,1,1,5381
1/14/2026,346,320,19,62,249,27,0,55,107,184,23,6,7,3,38
1/15/2026,401,568,115,107,202,37,120,49,86,146,5,8,3,1,11192
1/16/2026,533,446,90,104,403,6,329,12,44,148,7,10,3,1,2218
1/17/2026,591,563,100,112,412,15,120,52,269,150,4,8,4,2,12945
1/18/2026,693,321,55,124,486,52,210,15,216,252,5,12,7,2,5997
