Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
1/19/2026,471,309,64,101,317,27,105,142,107,117,3,8,5,3,5904
1/20/2026,358,389,91,86,198,48,0,194,80,84,24,6,6,3,11111
1/21/2026,382,346,53,92,249,28,0,111,148,123,23,6,7,4,5635
1/22/2026,582,363,106,109,421,13,30,153,247,152,1,9,8,3,6914
1/23/2026,162,423,65,75,57,10,39,59,49,15,2,8,6,3,6020
1/24/2026,668,483,77,97,417,50,0,123,360,185,23,8,9,4,5283
1/25/2026,496,333,78,103,351,15,15,201,247,33,1,8,7,3,5331
