Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
12/8/2025,548,501,79,148,336,0,0,103,198,247,24,9,9,3,10733
12/9/2025,429,398,89,189,180,18,0,194,165,70,23,7,8,4,5832
12/10/2025,572,593,111,203,269,0,135,60,159,218,2,11,9,3,5616
12/11/2025,768,437,78,235,481,0,90,90,261,327,2,8,6,3,11703
12/12/2025,329,493,61,97,196,0,71,87,104,67,2,6,4,2,6570
12/13/2025,606,397,59,155,258,96,104,85,81,336,2,8,6,3,1779
12/14/2025,454,449,57,120,317,0,117,43,210,84,5,11,6,3,6577
