Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
10/27/2025,311,545,103,156,113,42,105,75,192,163,3,10,7,3,5810
10/28/2025,432,521,62,208,224,0,150,30,292,340,3,10,7,3,1185
10/29/2025,586,440,49,114,270,202,115,243,294,300,2,11,9,4,463
10/30/2025,631,471,53,151,303,177,45,283,209,135,1,5,4,2,9111
10/31/2025,350,308,54,79,165,106,0,225,247,231,24,6,6,3,4024
11/1/2025,476,351,33,156,47,273,75,105,348,98,2,9,7,3,202
11/2/2025,527,445,59,180,123,224,75,90,314,150,2,8,6,2,3191
