Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
12/29/2025,621,350,50,148,400,125,0,105,256,260,23,8,9,4,1770
12/30/2025,1004,440,83,136,847,0,255,60,352,337,5,9,4,1,1819
12/31/2025,638,336,85,197,356,39,60,120,273,185,2,7,5,2,6458
1/1/2026,672,447,55,175,393,9,120,60,314,178,3,7,4,2,5889
1/2/2026,473,320,67,123,285,16,0,177,141,155,24,6,6,3,6856
1/3/2026,298,369,57,70,182,0,0,157,74,67,22,6,8,4,9770
1/4/2026,483,494,62,108,309,8,60,135,146,142,1,6,5,2,12316
