Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
11/3/2025,497,598,60,274,125,98,120,165,183,139,2,8,6,2,9916
11/4/2025,747,511,135,253,374,120,30,225,265,227,1,4,3,1,9242
11/5/2025,572,530,83,219,286,67,195,243,126,65,3,4,1,1,6625
11/6/2025,438,442,69,147,160,131,45,135,198,144,2,8,6,2,7889
11/7/2025,444,584,121,234,84,126,15,182,161,135,1,6,5,2,8257
11/8/2025,395,395,90,172,145,78,75,165,75,173,2,7,5,2,7444
11/9/2025,252,322,44,77,121,54,60,135,60,149,2,7,5,2,3212
