Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
12/22/2025,405,546,88,102,256,0,15,135,105,150,3,8,5,2,3927
12/23/2025,513,258,85,32,435,0,0,210,85,218,24,6,6,3,2329
12/24/2025,419,343,95,98,307,0,60,136,122,101,2,8,6,3,6450
12/25/2025,576,348,49,122,428,3,88,47,287,154,2,11,9,3,1209
12/26/2025,438,481,75,153,283,0,0,146,163,129,9,9,12,3,2386
12/27/2025,833,296,68,152,671,7,0,234,360,239,24,8,8,4,2900
12/28/2025,680,311,35,198,440,40,0,57,311,312,10,11,11,3,1121
