Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
12/1/2025,739,476,102,240,390,109,75,152,243,269,2,9,7,3,10990
12/2/2025,620,391,118,159,442,0,0,165,316,139,23,6,7,3,11352
12/3/2025,387,570,126,137,166,0,0,124,115,148,23,6,7,3,13052
12/4/2025,759,397,88,122,513,114,120,193,201,245,2,7,5,2,10315
12/5/2025,842,350,72,159,433,250,75,124,354,289,2,10,8,3,4797
12/6/2025,856,393,77,152,549,27,75,156,324,301,2,8,6,3,5691
12/7/2025,537,309,76,222,263,20,0,75,175,287,24,10,10,3,9888
