Date,Total Screen Time,Total Number of Notifications,Total Number of Unlocks,Social Media Usage,Video App Usage,Games Usage,0 to 6,6 to 12,12 to 18,18 to 24,Sleep Start,Sleep End,Sleep Duration,Sleep Quality,Steps
1/5/2026,434,428,106,125,239,40,0,103,154,177,21,9,12,4,11829
1/6/2026,315,470,115,81,190,0,0,98,121,96,24,8,8,3,11511
1/7/2026,729,561,93,185,483,13,271,236,75,147,5,6,1,1,10095
1/8/2026,262,418,125,77,155,0,33,32,74,123,2,10,8,3,11184
1/9/2026,171,409,54,59,82,19,0,90,57,24,23,8,9,4,8422
1/10/2026,218,353,52,61,148,0,49,75,94,0,4,9,5,2,4349
1/11/2026,384,286,44,131,222,24,210,14,86,74,6,11,5,1,36
